ID	NAME	QUANTITY	TYPE	COST	TAG	DESCRIPTION	INFO
0	HR	64	HashRate			Mine a Block on your Chain using HashRate.	The amount of computing power being consumed by the network to continuously operate. Secures the network.
1	51%	1	Action	1	Attack	Target looses a Block.	If more than half the computer power on a network is run by a single entity, then a 51% attack is in operation
2	AGREE.	1	Action	0	Flash	Protects your Blocks once.	Consensus is achieved when all participants of the network agree on the order and content of blocks and transactions contained in those blocks.
3	ATH	1	Event		Challenge	Random: all players get +1/0 HR.	All Time High: The highest point (in price, in market capitalization) that a cryptocurrency has been in history.
4	ATL	1	Event		Challenge	Random: all players get 0/-1 HR.	All Time Low: The lowest point (in price, in market capitalization) that a cryptocurrency has been in history.
4	BEAR	1	Action	0	Attack	Target looses 1 HR.	Bear: A person who is pessimistic about market prices and expects them to decline. This person is also known to be 'bearish' about the market or price.
5	BOT	1	Action	0	Challenge	Random: your 1 HR versus an opponent's 1 HR.	Trading Bot: Automated trading software bots that execute trade orders extremely quickly, based on a preset algorithm of buy-and-sell rules.
6	BTFD	1	Event		Challenge	Get 1 HR. Others are challenged to get +1/0 HR.	Buy The F* Dip: An enthusiastic exclamation by supporters of a cryptocurrency to buy while prices are at a low point.
7	BULL	1	Action	0	Gift	You gain 2 HR.	Bull: A person that is optimistic and confident that market prices will increase, this person is also known to be 'bullish' about the market or price.
9	BYZ.	1	Event		Gift	All players must agree to all get 1 B -or- 1 HR.	Byzantine Generals’ Problem: A situation where communication that requires consensus on a single strategy from all members within a group or party cannot be trusted or verified.
10	CEX	1	Action	0	Central	Swap 1 HR for 1 B.	Centralized Exchange: A centralized organizational structure is one in which a single node or a small number of them are in control of an entire network.
11	DCA	1	Action	0	Trade	Swap 1 B for 2 HR.	Dollar Cost Average: An investment strategy in which an investor divides up the total amount to be invested across periodic purchases of a target asset.
12	DEX	1	Action	0	Trade	Target must trade you 2 HR for any card (you want) from your Hand.	Decentralized Exchange: A peer-to-peer exchange that allows users to buy and sell cryptocurrency and other assets without a central intermediary involved.
13	DIFF--	1	Action	0	Mining	Your next Block requires 1 less HR to mine.	Difficulty Descrease: A relative measure of how difficult it is to discover a new block. Adjusts periodically proportionally to the hashing power of the network of miners.
14	DIFF++	1	Action	0	Mining	Target's next Block requires 1 more HR to mine.	Difficulty Increase: A relative measure of how difficult it is to discover a new block. Adjusts periodically as a function of how much hashing power has been deployed by the network of miners.
15	DOUBLE	1	Action	0	Gift	Play a (paid) Action card for free.	Double Spending: A situation where a sum of money is (illegitimately) spent more than once.
16	FEES	1	Action	0	Mining	Your next block rewards 1 more B.	Block Reward: By contributing to the security and liveness of the chain, the miner is rewarded with this incentive, ensuring that miners continue to act in the best interest of the blockchain.
17	FIAT	1	Action	0	Central	Useless.	Fiat currency is 'legal tender' backed by a central government, such as the Federal Reserve, and with its own banking system, such as fractional reserve banking.
18	FLIP	1	Action	0	Trade	Swap Hand with an opponent.	The Flippening is the transition of other cryptocurrencies (such as Ethereum) growing bigger, more important, and more valuable than the #1 (Bitcoin).
19	FORK	1	Action	1	Attack	Steal the target's latest Block.	Forks, or chain splits, create an alternate version of the blockchain, leaving two blockchains to run simultaneously.
20	HALF	1	Action	0	Attack	Target's next block rewards 1 less B.	Halving: An event in which the total rewarded coins per confirmed block halves. Enforces scarcity.
21	HODL	1	Action	0	Flash	Protects 1 B -or- all your HR once.	Hodl: A type of passive investment strategy where you hold an investment regardless of any changes in the price or markets. The term first became famous due to a typo.
22	ICO	1	Action	0	Challenge	Random: your 1 HR versus an opponent's 2 HR.	Initial Coin Offering: A type of crowdfunding, or crowdsale, using cryptocurrencies as a means of raising capital for early-stage companies.
23	KYC	1	Event		Central	Prove your (IRL) identity -or- skip this turn.	Know Your Customer: This process refers to a centralized financial institution’s obligations to verify the identity of a customer in line with global anti-money laundering laws.
24	MARGIN	1	Action	0	Attack	Target looses 1 B.	Margin Called: When an investor’s account value falls below the margin maintenance amount. The broker will then demand that the investor deposit additional money to continue trading.
25	MINER	1	Action	0	Mining	Target must trade you all its HR for 1 B.	Mining: A process where blocks are added to a blockchain, verifying transactions. It is also the process through which new coins are created.
26	NO-COIN	1	Event	0	Gift	Player(s) with the least Coins get 1 B.	A no-coiner is someone who has no cryptocurrency in his or her investment portfolio and firmly believes that cryptocurrency in general will fail.
27	NONCE	1	Action	1	Mining	Mine a Block (for free) using the Pool.	When a transaction is hashed by a miner, an arbitrary number meant to be used only once is generated, called a nonce.
28	OFFLINE	1	Action	0	Flash	Protects any amount of HR once.	Cold Storage: The act of storing cryptocurrencies in devices or systems not connected to the internet.
29	ORACLE	1	Action	0	Central	Target must reveal its Hand to you.	Oracle: An agent that finds and verifies information, bridging the real world and the blockchain by providing data to smart contracts.
30	P&D	1	Event		Challenge	Random: you get +1/-1 HR., others get the opposite.	Pump&Dump: A form of securities fraud involving the artificial inflation of the price of a cryptocurrency with false and misleading positive statements in order to sell at a higher price.
31	PoS	1	Event		Gift	Any player holding 1+ HR gets 1 HR.	Proof-of-Stake: A blockchain consensus mechanism involving choosing the creator of the next block via various combinations of random selection and wealth or age of staked coins or tokens.
32	PONZI	1	Action	0	Challenge	Random: each opponent must give you 1 B/HR, winner chooses.	Ponzi Scheme: A fraudulent investment involving the payment of purported returns to existing investors from funds contributed by new investors.
33	REKT	1	Action	1	Attack	Target must drop all HR in Hand.	A shorthand slang for 'wrecked', describing a bad loss in a trade.
34	SAT	1	Action	0	Gift	Gain 1 B.	Satoshi Nakamoto: The individual or group of individuals that created Bitcoin. The identity of Satoshi Nakamoto has never been confirmed.
35	SCAM	1	Action	0	Attack	Steal 2 HR from the target.	Scam: A fraudulent or deceptive cryptocurrency or ICO.
36	STABLE	1	Action	0	Gift	Swap 1 FIAT (in Hand or from Pool) for 2 HR.	Stablecoin: A cryptocurrency with extremely low volatility, sometimes used as a means of portfolio diversification. Examples include gold-backed cryptocurrency or fiat-pegged cryptocurrency.
37	STRONG	1	Action	0	Flash	Win any random challenge once.	Strong hands is a colloquial term that can refer to well-financed speculators or futures traders who wish to take delivery of the underlying asset.
38	SYBIL	1	Event		Attack	All players (including you) loose a Block.	In a Sybil attack, the attacker subverts the reputation system of a network service by creating a large number of fake identities to gain a disproportionately large influence.
